id,host_id,host_response_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,extra_people,minimum_nights,instant_bookable,cancellation_policy,review_scores_location,review_scores_value,number_of_reviews
12105029,64907250,1.0,False,True,False,True,House,Private room,2,2.0,1.0,1.0,Real Bed,60.0,15.0,2,False,flexible,10.0,10.0,12
5536091,28704848,1.0,False,True,True,False,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,29.0,0.0,1,False,moderate,10.0,9.0,12
15232397,91928628,1.0,False,True,False,True,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,120.0,0.0,4,False,strict,10.0,10.0,2
16040997,16057345,0.67,False,True,False,False,Apartment,Entire home/apt,4,2.0,2.0,2.0,Real Bed,150.0,0.0,2,False,strict,10.0,9.0,6
10264701,52777957,1.0,False,True,True,False,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,35.0,4.0,2,False,flexible,9.0,9.0,8
16819140,43483271,1.0,False,True,False,True,House,Private room,2,1.0,1.0,1.0,Real Bed,35.0,5.0,1,False,flexible,6.0,10.0,1
4501112,23343766,1.0,False,True,False,True,House,Entire home/apt,6,2.5,3.0,6.0,Real Bed,250.0,0.0,3,False,strict,9.0,10.0,2
16021029,104200285,1.0,False,True,False,True,Apartment,Entire home/apt,4,2.0,2.0,2.0,Real Bed,144.0,0.0,5,False,strict,10.0,8.0,1
2284438,11629266,1.0,False,True,False,True,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,35.0,15.0,2,False,moderate,10.0,9.0,28
5429009,24608786,1.0,False,True,True,True,House,Entire home/apt,7,2.5,4.0,4.0,Real Bed,175.0,15.0,5,False,strict,9.0,10.0,2
1262205,3360710,1.0,False,True,True,True,House,Entire home/apt,4,1.0,2.0,2.0,Real Bed,100.0,0.0,5,False,moderate,9.0,10.0,12
13083241,54501587,1.0,False,True,False,False,House,Private room,2,1.0,1.0,1.0,Real Bed,57.0,0.0,1,False,flexible,10.0,10.0,5
9417632,44854420,1.0,False,True,False,True,Apartment,Entire home/apt,4,2.0,2.0,2.0,Real Bed,240.0,0.0,1,False,strict,10.0,8.0,1
6392890,9402045,1.0,False,True,True,True,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,22.0,6.0,14,False,moderate,9.0,10.0,3
13612722,55501592,1.0,False,True,True,False,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,65.0,0.0,2,False,flexible,10.0,10.0,7
11073476,38363495,1.0,True,True,False,True,Apartment,Private room,4,1.0,1.0,2.0,Real Bed,65.0,0.0,1,False,strict,10.0,10.0,30
7730826,17066316,1.0,False,True,True,True,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,60.0,0.0,1,False,flexible,9.0,9.0,7
17275703,107782426,1.0,False,True,True,False,Apartment,Shared room,1,1.0,1.0,1.0,Real Bed,15.0,0.0,1,False,flexible,10.0,10.0,1
1953238,10097876,1.0,False,True,True,False,House,Private room,2,1.0,1.0,1.0,Real Bed,28.0,5.0,1,False,strict,10.0,10.0,7
4320006,6543906,1.0,False,True,False,True,Bed & Breakfast,Private room,4,1.5,1.0,3.0,Real Bed,52.0,20.0,2,False,moderate,9.0,8.0,5
11009717,2526454,1.0,False,True,False,False,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,85.0,0.0,1,False,flexible,9.0,9.0,7
3603952,18158977,1.0,True,True,True,False,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,49.0,0.0,3,False,flexible,10.0,10.0,46
9564342,22767318,0.8,False,True,False,False,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,80.0,0.0,2,False,strict,10.0,10.0,1
782346,3534259,1.0,True,True,True,True,Bed & Breakfast,Private room,2,1.0,1.0,1.0,Real Bed,65.0,60.0,1,False,moderate,10.0,10.0,26
13885996,69609516,1.0,False,True,False,True,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,41.0,0.0,2,False,moderate,10.0,8.0,1
7000404,33292052,1.0,False,True,True,False,Bed & Breakfast,Private room,7,2.0,1.0,4.0,Real Bed,52.0,45.0,1,False,strict,8.0,8.0,1
14145769,75596347,1.0,False,True,False,True,Bed & Breakfast,Private room,2,1.0,1.0,1.0,Real Bed,100.0,0.0,1,True,flexible,8.0,8.0,1
11653764,15815152,1.0,True,True,True,False,Apartment,Private room,2,1.0,1.0,1.0,Pull-out Sofa,32.0,0.0,1,False,flexible,10.0,10.0,24
17024399,10775491,1.0,False,True,False,True,House,Private room,2,1.5,1.0,1.0,Real Bed,32.0,15.0,1,False,flexible,10.0,10.0,1
5745424,29797177,1.0,False,True,True,True,House,Private room,2,1.0,1.0,1.0,Real Bed,40.0,10.0,1,False,moderate,10.0,10.0,16
2336771,2030713,1.0,False,True,True,True,House,Private room,2,1.0,1.0,1.0,Real Bed,60.0,7.0,1,False,moderate,10.0,10.0,17
11665612,61924835,1.0,False,True,True,True,Bungalow,Entire home/apt,4,1.0,1.0,4.0,Real Bed,85.0,12.0,2,False,moderate,10.0,10.0,7
14393265,14622751,0.9,False,True,True,False,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,40.0,0.0,1,False,flexible,10.0,10.0,5
11114805,32839572,1.0,False,True,True,False,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,40.0,0.0,1,False,strict,10.0,8.0,2
4036141,20926404,1.0,False,True,False,True,House,Entire home/apt,7,1.5,4.0,7.0,Real Bed,275.0,50.0,2,False,strict,10.0,9.0,17
15171787,81142852,1.0,False,True,True,True,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,90.0,0.0,1,True,strict,10.0,9.0,11
15172609,82868127,1.0,False,True,True,True,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,60.0,0.0,3,False,flexible,10.0,10.0,6
13888104,16864616,1.0,True,True,True,True,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,40.0,20.0,3,False,strict,10.0,10.0,20
3766472,4922173,1.0,False,True,True,True,Bed & Breakfast,Private room,1,1.0,1.0,1.0,Real Bed,35.0,0.0,1,False,strict,9.0,9.0,12
617242,3059534,1.0,False,True,False,True,Apartment,Private room,3,0.0,1.0,2.0,Real Bed,50.0,20.0,1,True,flexible,10.0,9.0,26
16082803,22988905,1.0,False,True,False,True,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,100.0,0.0,2,False,flexible,10.0,10.0,1
4023781,20860377,1.0,False,True,True,False,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,90.0,0.0,5,False,moderate,10.0,9.0,7
12280058,51206977,1.0,False,True,False,True,House,Private room,2,2.0,1.0,1.0,Real Bed,26.0,5.0,1,True,strict,9.0,9.0,16
2580200,13214455,1.0,False,True,False,True,House,Private room,2,1.5,1.0,1.0,Real Bed,45.0,0.0,1,False,strict,9.0,9.0,15
8949661,46779014,1.0,False,True,False,False,House,Private room,2,1.0,1.0,1.0,Real Bed,35.0,10.0,1,False,moderate,10.0,9.0,7
4019014,20838021,1.0,False,True,True,True,House,Private room,4,1.0,1.0,2.0,Real Bed,35.0,40.0,2,False,strict,9.0,9.0,6
661917,2413601,1.0,True,True,True,True,House,Private room,2,1.0,1.0,1.0,Real Bed,42.0,25.0,2,False,moderate,10.0,10.0,37
15158420,72921587,1.0,False,True,False,True,Apartment,Entire home/apt,6,1.0,3.0,4.0,Real Bed,147.0,30.0,1,False,strict,10.0,10.0,23
14895968,63262651,1.0,False,True,True,True,House,Private room,4,1.5,2.0,2.0,Real Bed,80.0,15.0,3,False,moderate,10.0,10.0,13
5589592,28980680,1.0,False,True,False,True,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,85.0,0.0,1,False,flexible,9.0,9.0,68
14372315,10336212,1.0,False,True,True,False,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,79.0,0.0,2,False,strict,10.0,10.0,10
17253517,29618501,1.0,False,True,True,False,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,22.0,0.0,1,False,strict,9.0,10.0,2
12534226,67904006,1.0,True,True,False,True,Bed & Breakfast,Private room,2,1.0,1.0,1.0,Real Bed,60.0,10.0,1,False,strict,10.0,10.0,27
11093420,52632402,1.0,False,True,False,True,Bed & Breakfast,Private room,2,1.0,1.0,1.0,Futon,45.0,10.0,1,False,strict,9.0,10.0,6
11353683,52632402,1.0,False,True,False,True,House,Entire home/apt,6,3.0,3.0,3.0,Real Bed,200.0,0.0,1,False,strict,9.0,10.0,2
7028582,36456894,1.0,False,True,True,True,House,Private room,2,2.0,1.0,1.0,Real Bed,50.0,10.0,2,False,moderate,10.0,10.0,38
16200922,105811068,1.0,False,True,False,True,House,Private room,2,1.0,1.0,1.0,Real Bed,50.0,0.0,1,False,flexible,10.0,10.0,2
10822914,41888299,1.0,False,True,False,False,House,Private room,2,2.0,1.0,1.0,Real Bed,30.0,0.0,1,False,flexible,10.0,10.0,19
3875430,20023995,1.0,False,True,True,True,Bed & Breakfast,Private room,2,1.0,1.0,1.0,Real Bed,30.0,10.0,1,False,moderate,9.0,10.0,92
15718868,101540801,1.0,False,True,False,False,House,Private room,1,1.0,1.0,1.0,Real Bed,23.0,0.0,1,False,moderate,10.0,8.0,1
754867,1794020,1.0,False,True,False,False,Apartment,Entire home/apt,6,1.0,2.0,4.0,Real Bed,99.0,10.0,4,False,strict,10.0,10.0,18
3217809,12665529,1.0,False,True,False,True,House,Private room,1,1.0,1.0,1.0,Real Bed,25.0,0.0,7,False,strict,10.0,9.0,10
10820812,35215305,1.0,False,True,True,False,House,Entire home/apt,8,3.5,4.0,4.0,Real Bed,250.0,50.0,5,False,strict,10.0,9.0,9
15014489,94760807,1.0,False,True,False,False,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,73.0,5.0,2,False,strict,9.0,10.0,6
4502201,17249646,0.9,False,True,False,True,House,Private room,1,0.5,1.0,1.0,Real Bed,19.0,9.0,1,False,flexible,9.0,10.0,42
16067390,15880069,0.88,False,True,False,True,House,Entire home/apt,7,2.5,3.0,3.0,Real Bed,150.0,0.0,5,False,strict,10.0,8.0,1
2032290,10433380,1.0,True,True,True,True,House,Private room,1,1.0,1.0,1.0,Real Bed,35.0,0.0,1,False,moderate,10.0,10.0,47
